40;
1;238;30;36;
2;203;32;39;
3;171;81;159;
4;83;187;107;
5;105;189;69;
6;60;87;167;
7;244;235;30;
8;112;203;208;
9;136;197;64;
10;138;255;0;
11;0;16;138;
12;247;144;30;
13;220;66;0;
14;231;78;224;
15;255;251;115;
16;154;130;134;
17;109;0;205;
18;91;97;138;
19;179;224;217;
20;196;50;236;
21;211;70;93;
22;97;45;54;
23;5;90;48;
24;207;204;28;
25;85;141;40;
26;23;144;116;
27;97;95;18;
28;171;217;141;
29;190;184;227;
30;0;39;74;
31;123;101;74;
32;144;45;12;
33;255;190;106;
34;142;218;211;
35;158;156;116;
36;117;115;67;
37;109;67;118;
38;21;27;141;
39;131;170;232;
40;0;242;255;
